date (whole day); user1; user2; odd duration (sec); average duration (sec); odd times; average times (sec); floor;zone
31-May-16 12:00:00 AM;jcastellanos;slea;9450;3750;12;;1;4
31-May-16 12:00:00 AM;jcastellanos;slea;5166;4500;10;;2;3
02-Jun-16 12:00:00 AM;jcastellanos;slea;9840;7500;6;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;slea;5106;5000;9;;2;3
03-Jun-16 12:00:00 AM;jcastellanos;slea;45804;9000;5;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;slea;14100;11250;4;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;slea;7507;5625;8;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;slea;7042;5625;8;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;slea;14070;11250;4;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;slea;57240;11250;4;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;cmorluniau;56205;15645;4;;1;4
10-Jun-16 12:00:00 AM;cmorluniau;jcastellanos;44736;12516;5;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;lorosco;111360;36870;2;;1;4
10-Jun-16 12:00:00 AM;lorosco;jcastellanos;112590;36870;2;;1;4
03-Jun-16 12:00:00 AM;ibarranco;jcastellanos;113130;51420;2;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;ibarranco;46850;17140;6;;1;4
31-May-16 12:00:00 AM;jcastellanos;lalcazar;17360;9820;3;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;lalcazar;17140;9820;3;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;lalcazar;17640;9820;3;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;lalcazar;17140;9820;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;lalcazar;17400;9820;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;lalcazar;17320;9820;3;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;lalcazar;12915;7365;4;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;lalcazar;74820;9820;3;;1;4
03-Jun-16 12:00:00 AM;aribera;jcastellanos;113130;37680;2;;1;4
10-Jun-16 12:00:00 AM;aribera;jcastellanos;113130;37680;2;;1;4
31-May-16 12:00:00 AM;jcastellanos;gcazar;13035;10755;4;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;gcazar;17660;14340;3;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;gcazar;17520;14340;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;gcazar;111450;21510;2;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;gcazar;17660;14340;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;gcazar;17620;14340;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;gcazar;17420;14340;3;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;gcazar;17520;14340;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;gcazar;74700;14340;3;;1;4
31-May-16 12:00:00 AM;jcastellanos;knielson;17240;13560;3;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;knielson;17600;13560;3;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;knielson;17400;13560;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;knielson;112470;20340;2;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;knielson;17020;13560;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;knielson;17360;13560;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;knielson;17120;13560;3;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;knielson;16780;13560;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;knielson;75080;13560;3;;1;4
02-Jun-16 12:00:00 AM;jholly;jcastellanos;35460;33460;3;;1;4
03-Jun-16 12:00:00 AM;jholly;jcastellanos;150840;33460;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;jholly;75200;33460;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;acalzas;74500;24660;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;acalzas;74700;24660;3;;1;4
03-Jun-16 12:00:00 AM;vawelon;jcastellanos;35120;12750;6;;1;4
10-Jun-16 12:00:00 AM;vawelon;jcastellanos;41976;15300;5;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;hmies;75040;24600;6;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;hmies;112500;36900;4;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;ostrum;56244;16056;5;;1;4
10-Jun-16 12:00:00 AM;ostrum;jcastellanos;35630;13380;6;;1;4
31-May-16 12:00:00 AM;jcastellanos;fmata;13065;10185;4;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;fmata;26160;20370;2;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;fmata;17540;13580;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;fmata;74440;13580;3;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;fmata;17600;13580;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;fmata;17340;13580;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;fmata;17420;13580;3;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;fmata;17100;13580;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;fmata;74680;13580;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;eklinger;74820;27020;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;eklinger;74860;27020;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;thagan;74760;22480;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;thagan;74540;22480;3;;1;4
31-May-16 12:00:00 AM;jcastellanos;sparrino;10200;8628;5;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;sparrino;17300;14380;3;;1;4
02-Jun-16 12:00:00 AM;jcastellanos;sparrino;10428;8628;5;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;sparrino;74400;14380;3;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;sparrino;17280;14380;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;sparrino;16780;14380;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;sparrino;17560;14380;3;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;sparrino;25905;10785;4;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;sparrino;74800;14380;3;;1;4
31-May-16 12:00:00 AM;ncalixto;monda;25800;12540;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;monda;25380;12540;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;monda;25950;12540;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;monda;112380;12540;2;;1;4
06-Jun-16 12:00:00 AM;monda;ncalixto;12735;6270;4;;1;4
07-Jun-16 12:00:00 AM;monda;ncalixto;26040;12540;2;;1;4
08-Jun-16 12:00:00 AM;monda;ncalixto;25320;12540;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;monda;26070;12540;2;;1;4
10-Jun-16 12:00:00 AM;monda;ncalixto;112200;12540;2;;1;4
03-Jun-16 12:00:00 AM;jsanjorge;monda;55770;19635;4;;1;4
10-Jun-16 12:00:00 AM;monda;jsanjorge;74500;26180;3;;1;4
03-Jun-16 12:00:00 AM;tseifert;monda;112380;40560;2;;1;4
10-Jun-16 12:00:00 AM;tseifert;monda;112470;40560;2;;1;4
03-Jun-16 12:00:00 AM;epavone;monda;112380;40590;2;;1;4
10-Jun-16 12:00:00 AM;monda;epavone;112290;40590;2;;1;4
31-May-16 12:00:00 AM;monda;iborrasca;25680;15660;2;;1;4
01-Jun-16 12:00:00 AM;iborrasca;monda;25110;15660;2;;1;4
02-Jun-16 12:00:00 AM;iborrasca;monda;26010;15660;2;;1;4
03-Jun-16 12:00:00 AM;iborrasca;monda;112230;15660;2;;1;4
06-Jun-16 12:00:00 AM;iborrasca;monda;25740;15660;2;;1;4
07-Jun-16 12:00:00 AM;monda;iborrasca;25380;15660;2;;1;4
08-Jun-16 12:00:00 AM;monda;iborrasca;25320;15660;2;;1;4
09-Jun-16 12:00:00 AM;monda;iborrasca;26340;15660;2;;1;4
10-Jun-16 12:00:00 AM;iborrasca;monda;112470;15660;2;;1;4
03-Jun-16 12:00:00 AM;monda;hblue;111420;44940;2;;1;4
10-Jun-16 12:00:00 AM;hblue;monda;112470;44940;2;;1;4
03-Jun-16 12:00:00 AM;emintz;monda;112380;44970;2;;1;4
10-Jun-16 12:00:00 AM;monda;emintz;112290;44970;2;;1;4
31-May-16 12:00:00 AM;ldedos;monda;25800;14310;2;;1;4
01-Jun-16 12:00:00 AM;ldedos;monda;25380;14310;2;;1;4
02-Jun-16 12:00:00 AM;ldedos;monda;25260;14310;2;;1;4
03-Jun-16 12:00:00 AM;monda;ldedos;112050;14310;2;;1;4
06-Jun-16 12:00:00 AM;ldedos;monda;25920;14310;2;;1;4
07-Jun-16 12:00:00 AM;monda;ldedos;26310;14310;2;;1;4
08-Jun-16 12:00:00 AM;monda;ldedos;25110;14310;2;;1;4
09-Jun-16 12:00:00 AM;monda;ldedos;25980;14310;2;;1;4
10-Jun-16 12:00:00 AM;monda;ldedos;111780;14310;2;;1;4
31-May-16 12:00:00 AM;monda;slea;22002;12308;7;;1;4
03-Jun-16 12:00:00 AM;slea;monda;74860;28720;3;;1;4
10-Jun-16 12:00:00 AM;monda;slea;112140;43080;2;;1;4
31-May-16 12:00:00 AM;cmorluniau;monda;25800;15210;2;;1;4
01-Jun-16 12:00:00 AM;cmorluniau;monda;25320;15210;2;;1;4
02-Jun-16 12:00:00 AM;cmorluniau;monda;25560;15210;2;;1;4
03-Jun-16 12:00:00 AM;monda;cmorluniau;55950;7605;4;;1;4
06-Jun-16 12:00:00 AM;cmorluniau;monda;25470;15210;2;;1;4
07-Jun-16 12:00:00 AM;monda;cmorluniau;26010;15210;2;;1;4
08-Jun-16 12:00:00 AM;monda;cmorluniau;25560;15210;2;;1;4
09-Jun-16 12:00:00 AM;cmorluniau;monda;26550;15210;2;;1;4
10-Jun-16 12:00:00 AM;monda;cmorluniau;111810;15210;2;;1;4
03-Jun-16 12:00:00 AM;monda;lorosco;110640;44610;2;;1;4
10-Jun-16 12:00:00 AM;monda;lorosco;112290;44610;2;;1;4
03-Jun-16 12:00:00 AM;ibarranco;monda;112380;50190;2;;1;4
09-Jun-16 12:00:00 AM;monda;ibarranco;45910;16730;6;;1;4
31-May-16 12:00:00 AM;lalcazar;monda;25800;8880;2;;1;4
01-Jun-16 12:00:00 AM;lalcazar;monda;25380;8880;2;;1;4
02-Jun-16 12:00:00 AM;lalcazar;monda;26070;8880;2;;1;4
06-Jun-16 12:00:00 AM;monda;lalcazar;12810;4440;4;;1;4
07-Jun-16 12:00:00 AM;monda;lalcazar;26010;8880;2;;1;4
08-Jun-16 12:00:00 AM;monda;lalcazar;25410;8880;2;;1;4
09-Jun-16 12:00:00 AM;lalcazar;monda;26220;8880;2;;1;4
10-Jun-16 12:00:00 AM;lalcazar;monda;112440;8880;2;;1;4
03-Jun-16 12:00:00 AM;aribera;monda;112380;45060;2;;1;4
10-Jun-16 12:00:00 AM;aribera;monda;112470;45060;2;;1;4
31-May-16 12:00:00 AM;gcazar;monda;25800;11580;2;;1;4
01-Jun-16 12:00:00 AM;gcazar;monda;25380;11580;2;;1;4
02-Jun-16 12:00:00 AM;gcazar;monda;25950;11580;2;;1;4
03-Jun-16 12:00:00 AM;monda;gcazar;111450;11580;2;;1;4
06-Jun-16 12:00:00 AM;gcazar;monda;25920;11580;2;;1;4
07-Jun-16 12:00:00 AM;monda;gcazar;26310;11580;2;;1;4
08-Jun-16 12:00:00 AM;gcazar;monda;13020;5790;4;;1;4
09-Jun-16 12:00:00 AM;monda;gcazar;26010;11580;2;;1;4
10-Jun-16 12:00:00 AM;gcazar;monda;112230;11580;2;;1;4
31-May-16 12:00:00 AM;knielson;monda;17180;8340;3;;1;4
01-Jun-16 12:00:00 AM;monda;knielson;12720;6255;4;;1;4
02-Jun-16 12:00:00 AM;monda;knielson;34720;8340;3;;1;4
03-Jun-16 12:00:00 AM;monda;knielson;74900;8340;3;;1;4
06-Jun-16 12:00:00 AM;monda;knielson;25530;12510;2;;1;4
07-Jun-16 12:00:00 AM;monda;knielson;26310;12510;2;;1;4
08-Jun-16 12:00:00 AM;monda;knielson;25410;12510;2;;1;4
09-Jun-16 12:00:00 AM;monda;knielson;25140;12510;2;;1;4
10-Jun-16 12:00:00 AM;monda;knielson;112380;12510;2;;1;4
03-Jun-16 12:00:00 AM;jholly;monda;112380;26310;2;;1;4
10-Jun-16 12:00:00 AM;jholly;monda;74620;17540;3;;1;4
31-May-16 12:00:00 AM;monda;acalzas;25740;14220;2;;1;4
01-Jun-16 12:00:00 AM;acalzas;monda;25380;14220;2;;1;4
02-Jun-16 12:00:00 AM;acalzas;monda;25320;14220;2;;1;4
03-Jun-16 12:00:00 AM;monda;acalzas;111750;14220;2;;1;4
06-Jun-16 12:00:00 AM;monda;acalzas;25770;14220;2;;1;4
07-Jun-16 12:00:00 AM;acalzas;monda;26370;14220;2;;1;4
08-Jun-16 12:00:00 AM;monda;acalzas;25560;14220;2;;1;4
09-Jun-16 12:00:00 AM;acalzas;monda;26550;14220;2;;1;4
10-Jun-16 12:00:00 AM;acalzas;monda;112230;14220;2;;1;4
03-Jun-16 12:00:00 AM;vawelon;monda;51660;14835;4;;1;4
10-Jun-16 12:00:00 AM;vawelon;monda;69020;19780;3;;1;4
31-May-16 12:00:00 AM;hmies;monda;25740;16020;4;;1;4
01-Jun-16 12:00:00 AM;hmies;monda;25320;16020;4;;1;4
02-Jun-16 12:00:00 AM;hmies;monda;34260;10680;6;;1;4
03-Jun-16 12:00:00 AM;hmies;monda;112380;16020;4;;1;4
06-Jun-16 12:00:00 AM;hmies;monda;25410;16020;4;;1;4
07-Jun-16 12:00:00 AM;monda;hmies;26040;16020;4;;1;4
08-Jun-16 12:00:00 AM;monda;hmies;25680;16020;4;;1;4
09-Jun-16 12:00:00 AM;hmies;monda;26070;16020;4;;1;4
10-Jun-16 12:00:00 AM;monda;hmies;111870;16020;4;;1;4
02-Jun-16 12:00:00 AM;monda;ostrum;46130;13070;6;;1;4
10-Jun-16 12:00:00 AM;ostrum;monda;41988;15684;5;;1;4
31-May-16 12:00:00 AM;monda;fmata;25590;12150;2;;1;4
01-Jun-16 12:00:00 AM;fmata;monda;25380;12150;2;;1;4
02-Jun-16 12:00:00 AM;fmata;monda;25980;12150;2;;1;4
03-Jun-16 12:00:00 AM;monda;fmata;111660;12150;2;;1;4
06-Jun-16 12:00:00 AM;fmata;monda;25920;12150;2;;1;4
07-Jun-16 12:00:00 AM;monda;fmata;25320;12150;2;;1;4
08-Jun-16 12:00:00 AM;monda;fmata;25800;12150;2;;1;4
09-Jun-16 12:00:00 AM;monda;fmata;25650;12150;2;;1;4
10-Jun-16 12:00:00 AM;fmata;monda;112230;12150;2;;1;4
31-May-16 12:00:00 AM;monda;eklinger;25020;22380;2;;1;4
01-Jun-16 12:00:00 AM;monda;eklinger;24960;22380;2;;1;4
02-Jun-16 12:00:00 AM;monda;eklinger;25590;22380;2;;1;4
03-Jun-16 12:00:00 AM;monda;eklinger;111510;22380;2;;1;4
06-Jun-16 12:00:00 AM;monda;eklinger;25260;22380;2;;1;4
07-Jun-16 12:00:00 AM;monda;eklinger;16600;14920;3;;1;4
08-Jun-16 12:00:00 AM;monda;eklinger;24750;22380;2;;1;4
09-Jun-16 12:00:00 AM;monda;eklinger;25260;22380;2;;1;4
10-Jun-16 12:00:00 AM;monda;eklinger;111390;22380;2;;1;4
31-May-16 12:00:00 AM;monda;thagan;25410;13680;2;;1;4
01-Jun-16 12:00:00 AM;thagan;monda;25170;13680;2;;1;4
02-Jun-16 12:00:00 AM;thagan;monda;25200;13680;2;;1;4
03-Jun-16 12:00:00 AM;monda;thagan;111990;13680;2;;1;4
06-Jun-16 12:00:00 AM;monda;thagan;17200;9120;3;;1;4
07-Jun-16 12:00:00 AM;thagan;monda;13020;6840;4;;1;4
08-Jun-16 12:00:00 AM;thagan;monda;25980;13680;2;;1;4
09-Jun-16 12:00:00 AM;monda;thagan;25980;13680;2;;1;4
10-Jun-16 12:00:00 AM;thagan;monda;55905;6840;4;;1;4
31-May-16 12:00:00 AM;monda;sparrino;25500;12180;2;;1;4
01-Jun-16 12:00:00 AM;monda;sparrino;20316;4872;5;;1;4
02-Jun-16 12:00:00 AM;sparrino;monda;25740;12180;2;;1;4
03-Jun-16 12:00:00 AM;monda;sparrino;111600;12180;2;;1;4
06-Jun-16 12:00:00 AM;monda;sparrino;25680;12180;2;;1;4
07-Jun-16 12:00:00 AM;monda;sparrino;25170;12180;2;;1;4
08-Jun-16 12:00:00 AM;monda;sparrino;25590;12180;2;;1;4
09-Jun-16 12:00:00 AM;monda;sparrino;25890;12180;2;;1;4
10-Jun-16 12:00:00 AM;monda;sparrino;112230;12180;2;;1;4
03-Jun-16 12:00:00 AM;jsanjorge;ncalixto;56010;16395;4;;1;4
10-Jun-16 12:00:00 AM;jsanjorge;ncalixto;111480;32790;2;;1;4
31-May-16 12:00:00 AM;ncalixto;tseifert;26460;21450;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;tseifert;26190;21450;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;tseifert;26310;21450;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;tseifert;113040;21450;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;tseifert;25680;21450;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;tseifert;26520;21450;2;;1;4
08-Jun-16 12:00:00 AM;tseifert;ncalixto;25500;21450;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;tseifert;25650;21450;2;;1;4
10-Jun-16 12:00:00 AM;tseifert;ncalixto;112470;21450;2;;1;4
31-May-16 12:00:00 AM;ncalixto;epavone;26280;22680;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;epavone;25770;22680;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;epavone;26370;22680;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;epavone;112890;22680;2;;1;4
06-Jun-16 12:00:00 AM;epavone;ncalixto;26070;22680;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;epavone;26250;22680;2;;1;4
08-Jun-16 12:00:00 AM;epavone;ncalixto;25500;22680;2;;1;4
09-Jun-16 12:00:00 AM;epavone;ncalixto;26310;22680;2;;1;4
10-Jun-16 12:00:00 AM;epavone;ncalixto;112410;22680;2;;1;4
31-May-16 12:00:00 AM;ncalixto;iborrasca;25740;13950;2;;1;4
01-Jun-16 12:00:00 AM;iborrasca;ncalixto;25800;13950;2;;1;4
02-Jun-16 12:00:00 AM;iborrasca;ncalixto;26970;13950;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;iborrasca;112350;13950;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;iborrasca;25710;13950;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;iborrasca;25380;13950;2;;1;4
08-Jun-16 12:00:00 AM;ncalixto;iborrasca;25500;13950;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;iborrasca;25860;13950;2;;1;4
10-Jun-16 12:00:00 AM;iborrasca;ncalixto;112410;13950;2;;1;4
31-May-16 12:00:00 AM;ncalixto;hblue;26130;20310;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;hblue;26190;20310;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;hblue;26370;20310;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;hblue;111900;20310;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;hblue;25620;20310;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;hblue;26310;20310;2;;1;4
08-Jun-16 12:00:00 AM;hblue;ncalixto;25500;20310;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;hblue;25680;20310;2;;1;4
10-Jun-16 12:00:00 AM;hblue;ncalixto;112470;20310;2;;1;4
31-May-16 12:00:00 AM;emintz;ncalixto;26880;20460;2;;1;4
01-Jun-16 12:00:00 AM;emintz;ncalixto;26370;20460;2;;1;4
02-Jun-16 12:00:00 AM;emintz;ncalixto;26220;20460;2;;1;4
03-Jun-16 12:00:00 AM;emintz;ncalixto;56475;10230;4;;1;4
06-Jun-16 12:00:00 AM;ncalixto;emintz;25680;20460;2;;1;4
07-Jun-16 12:00:00 AM;emintz;ncalixto;26520;20460;2;;1;4
08-Jun-16 12:00:00 AM;emintz;ncalixto;25500;20460;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;emintz;25620;20460;2;;1;4
10-Jun-16 12:00:00 AM;emintz;ncalixto;112470;20460;2;;1;4
31-May-16 12:00:00 AM;ncalixto;ldedos;26430;12870;2;;1;4
01-Jun-16 12:00:00 AM;ldedos;ncalixto;17140;8580;3;;1;4
02-Jun-16 12:00:00 AM;ldedos;ncalixto;26280;12870;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;ldedos;112050;12870;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;ldedos;26010;12870;2;;1;4
07-Jun-16 12:00:00 AM;ldedos;ncalixto;13095;6435;4;;1;4
08-Jun-16 12:00:00 AM;ncalixto;ldedos;25290;12870;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;ldedos;25770;12870;2;;1;4
10-Jun-16 12:00:00 AM;ncalixto;ldedos;111810;12870;2;;1;4
31-May-16 12:00:00 AM;slea;ncalixto;15017;6471;7;;1;4
02-Jun-16 12:00:00 AM;ncalixto;slea;26400;22650;2;;1;4
03-Jun-16 12:00:00 AM;slea;ncalixto;75180;15100;3;;1;4
06-Jun-16 12:00:00 AM;slea;ncalixto;17160;15100;3;;1;4
07-Jun-16 12:00:00 AM;slea;ncalixto;17460;15100;3;;1;4
08-Jun-16 12:00:00 AM;slea;ncalixto;17020;15100;3;;1;4
09-Jun-16 12:00:00 AM;slea;ncalixto;17080;15100;3;;1;4
10-Jun-16 12:00:00 AM;slea;ncalixto;74940;15100;3;;1;4
31-May-16 12:00:00 AM;ncalixto;cmorluniau;26820;13260;2;;1;4
01-Jun-16 12:00:00 AM;cmorluniau;ncalixto;26010;13260;2;;1;4
02-Jun-16 12:00:00 AM;cmorluniau;ncalixto;13260;6630;4;;1;4
03-Jun-16 12:00:00 AM;ncalixto;cmorluniau;112380;13260;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;cmorluniau;17140;8840;3;;1;4
07-Jun-16 12:00:00 AM;cmorluniau;ncalixto;13125;6630;4;;1;4
08-Jun-16 12:00:00 AM;cmorluniau;ncalixto;25500;13260;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;cmorluniau;26310;13260;2;;1;4
10-Jun-16 12:00:00 AM;ncalixto;cmorluniau;111840;13260;2;;1;4
31-May-16 12:00:00 AM;lorosco;ncalixto;26880;21300;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;lorosco;25140;21300;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;lorosco;26100;21300;2;;1;4
03-Jun-16 12:00:00 AM;ncalixto;lorosco;111120;21300;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;lorosco;25170;21300;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;lorosco;26250;21300;2;;1;4
08-Jun-16 12:00:00 AM;lorosco;ncalixto;25050;21300;2;;1;4
09-Jun-16 12:00:00 AM;lorosco;ncalixto;26310;21300;2;;1;4
10-Jun-16 12:00:00 AM;lorosco;ncalixto;112470;21300;2;;1;4
03-Jun-16 12:00:00 AM;ibarranco;ncalixto;75560;16740;3;;1;4
06-Jun-16 12:00:00 AM;ncalixto;ibarranco;25290;25110;2;;1;4
07-Jun-16 12:00:00 AM;ibarranco;ncalixto;13260;12555;4;;1;4
08-Jun-16 12:00:00 AM;ibarranco;ncalixto;25500;25110;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;ibarranco;45750;8370;6;;1;4
31-May-16 12:00:00 AM;ncalixto;lalcazar;26010;10800;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;lalcazar;25710;10800;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;lalcazar;26880;10800;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;lalcazar;25170;10800;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;lalcazar;26310;10800;2;;1;4
08-Jun-16 12:00:00 AM;lalcazar;ncalixto;25500;10800;2;;1;4
09-Jun-16 12:00:00 AM;ncalixto;lalcazar;26160;10800;2;;1;4
10-Jun-16 12:00:00 AM;lalcazar;ncalixto;112170;10800;2;;1;4
31-May-16 12:00:00 AM;ncalixto;aribera;26280;20400;2;;1;4
01-Jun-16 12:00:00 AM;ncalixto;aribera;26100;20400;2;;1;4
02-Jun-16 12:00:00 AM;ncalixto;aribera;26370;20400;2;;1;4
03-Jun-16 12:00:00 AM;aribera;ncalixto;113310;20400;2;;1;4
06-Jun-16 12:00:00 AM;ncalixto;aribera;25740;20400;2;;1;4
07-Jun-16 12:00:00 AM;ncalixto;aribera;26250;20400;2;;1;4
08-Jun-16 12:00:00 AM;aribera;ncalixto;12765;10200;4;;1;4
09-Jun-16 12:00:00 AM;ncalixto;aribera;25680;20400;2;;1;4
10-Jun-16 12:00:00 AM;aribera;ncalixto;112470;20400;2;;1;4
31-May-16 12:00:00 AM;ncalixto;gcazar;26070;15000;2;;1;4
01-Jun-16 12:00:00 AM;gcazar;ncalixto;35160;10000;3;;1;4
